Time (s),Voltage (V)
0.0,6.4
2.0000000000000486e-06,6.48
3.999999999900134e-06,6.4
5.999999999900182e-06,6.56
8.000000000000194e-06,6.48
1.0000000000000026e-05,6.4
1.1999999999900111e-05,6.4
1.399999999990016e-05,6.48
1.599999999990021e-05,6.48
1.8000000000000004e-05,6.32
2.0000000000000052e-05,6.4
2.1999999999900138e-05,6.48
2.3999999999900186e-05,6.4
2.6000000000000198e-05,6.48
2.800000000000003e-05,6.4
2.9999999999900115e-05,6.48
3.1999999999900164e-05,6.48
3.4000000000000176e-05,6.4
3.600000000000001e-05,6.48
3.799999999990009e-05,6.4
3.999999999990014e-05,6.48
4.199999999990019e-05,6.4
4.40000000000002e-05,6.48
4.6000000000000034e-05,6.4
4.799999999990012e-05,6.48
4.999999999990017e-05,6.16
5.200000000000018e-05,6.4
5.400000000000001e-05,5.2
5.600000000000006e-05,5.28
5.7999999999900145e-05,4.24
5.9999999999900194e-05,4.24
6.20000000000002e-05,3.28
6.400000000000004e-05,3.36
6.599999999990012e-05,2.48
6.799999999990017e-05,2.48
7.000000000000018e-05,1.68
7.200000000000002e-05,1.76
7.39999999999001e-05,0.96
7.599999999990015e-05,1.04
7.79999999999002e-05,0.32
8.000000000000021e-05,0.4
8.200000000000004e-05,-0.32
8.399999999990013e-05,-0.16
8.599999999990018e-05,-0.8
8.800000000000019e-05,-0.72
9.000000000000002e-05,-1.28
9.200000000000007e-05,-1.2
9.399999999990015e-05,-1.76
9.59999999999002e-05,-1.6
9.8e-05,-2.16
9.999999999990008e-05,-2.0
0.00010199999999990013,-2.48
0.00010399999999990018,-2.4
0.00010600000000000019,-2.88
0.00010800000000000002,-2.8
0.00010999999999990011,-3.12
0.00011199999999990016,-3.12
0.0001139999999999002,-3.52
0.000116,-3.36
0.00011800000000000005,-3.76
0.00011999999999990013,-3.6
0.00012199999999990018,-4.0
0.0001240000000000001,-3.84
0.00012600000000000014,-4.24
0.00012800000000000008,-4.08
0.00013000000000000012,-4.4
0.00013200000000000006,-4.24
0.0001340000000000001,-4.56
0.00013600000000000005,-4.4
0.00013799999999990014,-4.72
0.00014000000000000015,-4.56
0.0001420000000000001,-4.88
0.00014400000000000014,-4.72
0.00014599999999990012,-5.04
0.00014800000000000013,-4.88
0.00015000000000000007,-5.2
0.00015200000000000012,-5.12
0.00015400000000000006,-5.28
0.00015599999999990014,-5.2
0.00015800000000000015,-5.36
0.0001600000000000001,-5.28
0.00016200000000000014,-5.6
0.00016399999999990012,-5.36
0.00016600000000000013,-5.6
0.00016800000000000007,-5.52
0.00017000000000000012,-5.68
0.00017200000000000006,-5.6
0.00017399999999990015,-5.84
0.00017600000000000005,-5.6
0.0001780000000000001,-5.84
0.00018000000000000015,-5.68
0.00018199999999990012,-5.92
0.00018400000000000014,-5.76
0.00018600000000000008,-6.0
0.00018800000000000012,-5.84
0.00019000000000000006,-6.08
0.00019199999999990015,-5.84
0.00019400000000000005,-6.08
0.0001960000000000001,-5.92
0.00019800000000000015,-6.16
